File,Type,Type2,Filename,TexSize,Tiling,Modulation,Stretch,Object,ObjectMod,ViewPoint,LookAt,ViewUp,Repeat,RenderDistance,FlipGradient
tunnel.bin,mapping,tunnel,,"8,8","4.0,2.75","0.0,0.0,0.0",FALSE,,,,,,,,TRUE
tunnel2.bin,mapping,tunnel,,"8,8","3.0,1.75","4.0,3.0,0.25",TRUE,,,,,,,,TRUE
color.bin,color,tunnel,,,,"2.0,0.75,0.4",FALSE,,,,,,,,TRUE
color2.bin,color,tunnel,,,,"5.0,1.75,0.6",FALSE,,,,,,,,TRUE
color3.bin,color,tunnel,,,,"3.0,3.5,0.6",FALSE,,,,,,,,TRUE
invtorus.bin,mapping,sdf,,"8,8","8.0,8.0",,FALSE,invtorus,"2.5,2.0","-3.5,0.4,-2.0","0.0,0.0,0.0","0.0,0.8,0.22",,12,TRUE
invtoruscol.bin,color,sdf,,,"8.0,8.0",,FALSE,invtorus,"2.5,2.0","-3.5,0.4,-2.0","0.0,0.0,0.0","0.0,0.8,0.22",,12,TRUE
spheres.bin,mapping,sdf,,"8,8","6.0,6.0",,FALSE,sphere,"0.5,0.0","-2.5,0.65,-2.0","1.0,1.0,1.0","0.4,0.7,0.0","1.5,1.3,1.3",5,TRUE
spherescol.bin,color,sdf,,,"6.0,6.0",,FALSE,sphere,"0.5,0.0","-2.5,0.65,-2.0","1.0,1.0,1.0","0.4,0.7,0.0","1.5,1.3,1.3",5,TRUE
toroids.bin,mapping,sdf,,"8,8","4.0,3.0",,FALSE,torus,"0.4,0.21","-1.0,-0.1,-1.9","1.0,-0.5,0.0","0.0,0.5,0.6","1.5,1.3,1.3",6,TRUE
toroidscol.bin,color,sdf,,,"4.0,3.0",,FALSE,torus,"0.4,0.21","-1.0,-0.1,-1.9","1.0,-0.5,0.0","0.0,0.5,0.6","1.5,1.3,1.3",6,TRUE
invtorus2.bin,mapping,sdf,,"8,8","8.0,8.0",,FALSE,invtorus,"2.2,1.5","-3.0,0.4,-2.0","3.0,0.5,0.0","0.4,0.7,0.0","6.0,5.0,6.0",24,TRUE
invtoruscol2.bin,color,sdf,,,"8.0,8.0",,FALSE,invtorus,"2.2,1.5","-3.0,0.4,-2.0","3.0,0.5,0.0","0.4,0.7,0.0","6.0,5.0,6.0",24,TRUE
stereotex-1.bin,texture,readpng,stereo-1.png,"32,8",,,FALSE,,,,,,,,FALSE
stereotex-2.bin,texture,readpng,stereo-2.png,"32,8",,,FALSE,,,,,,,,FALSE
sdfcustom.bin,mapping,sdf,customsdf.csv,"32,8","6.0,6.0",,FALSE,custom,,"-1.0,-0.1,-1.9","0.0,0.0,0.0","0.0,1.0,0.0",,35,TRUE
sdfcustomcol.bin,color,sdf,customsdf.csv,"32,8","6.0,6.0",,FALSE,custom,,"-1.0,-0.1,-1.9","0.0,0.0,0.0","0.0,1.0,0.0",,35,TRUE
sdfface.bin,mapping,sdf,facesdf.csv,"32,8","6.0,6.0",,FALSE,custom,,"-0.0,-0.1,-0.4","0.0,0.0,0.0","0.0,1.0,0.0",,6,TRUE
sdffacecol.bin,color,sdf,facesdf.csv,"32,8","6.0,6.0",,FALSE,custom,,"-0.0,-0.1,-0.4","0.0,0.0,0.0","0.0,1.0,0.0",,6,TRUE
